dropnavide,events_title,events_subtitle,events_des,image,video
9,Fix Pitch Marks,,,,https://www.youtube.com/embed/WW7lLn1dyFA
10,2024 Shoot-Out Winners,,Ladies Winner Top Tier -Joe Bond,imagejpeg_2 (3)_JPG.jpg,
10,2024 Shoot-Out Winners,,Men's Winner Top Tier - Robert Metcalfe,imagejpeg_2 (4)_JPG.jpg,
10,2024 Shoot-Out Winners,,Ladies Second Top Tier -?Pam Brewer,imagejpeg_2 (2)_JPG.jpg,
10,2024 Shoot-Out Winners,,Men's Second Tier -?Mike Youds,imagejpeg_2 (1)_JPG.jpg,
11,Ladies Finals 2022,,,Slide2_JPG.jpg,
11,Ladies Finals 2022,,,Slide3_JPG.jpg,
11,Ladies Finals 2022,,,Slide4_JPG.jpg,
11,Ladies Finals 2022,,,Slide54_JPG.jpg,
11,Ladies Finals 2022,,,0355df_190509a2189440ffa46a0d41164226eb~mv2.jpg,
11,Ladies Finals 2022,,,0355df_b46715addd6448a294cd1ffff4e36a20~mv2.jpg,
11,Ladies Finals 2022,,,0355df_6a9094adc5f44b7dbc4895759c4b9248~mv2.jpg,
11,Ladies Finals 2022,,,0355df_04c0b69691c549d19aafa81b65374592~mv2.jpg,
11,Ladies Finals 2022,,,0355df_ff395fea283c47d880e7c867e5737e97~mv2.jpg,
11,Ladies Finals 2022,,,0355df_d6debf4b5dba48e6bece40ae0bd114cd~mv2.jpg,
11,Ladies Finals 2022,,,0355df_12aadedd72294d428712f65c565e90d0~mv2.jpg,
11,Ladies Finals 2022,,,0355df_06bdf1800b33447f924799a41ebb9a8d~mv2.jpg,
11,Ladies Finals 2022,,,0355df_1bc0608debd543eda0f116c1e50840c7~mv2.jpg,
11,Ladies Finals 2022,,,0355df_dba06d783e8f4406b785ac2ce81b47a6~mv2.jpg,
11,Ladies Finals 2022,,,0355df_ce30e37853d14103a0c9f4e87a6d0451~mv2.jpg,
12,Ladies Tournament 2024,,,Lincoln Ladies 2024.png,
13,Lincoln Men's Open,,,,
14,Lincoln Golf Club Championships 2024,,,2024 Senior.png,
14,Lincoln Golf Club Championships 2025,,,2024 Intermediate.png,
14,Lincoln Golf Club Championships 2026,,,2024 Junior A.png,
14,Lincoln Golf Club Championships 2027,,,2024 Junior B.png,
15,Pairs Champs 2023,,,Senior Pairs Champs.jpg,
15,Pairs Champs 2023,,,Inter Pairs Champs.jpg,
15,Pairs Champs 2023,,,JuniorA Pairs Champs.jpg,
15,Pairs Champs 2023,,,JuniorB Pairs Champs.jpg,
16,Watson Trophy Winners 2024,,Heather Templeton + Graham Henshaw,imagejpeg_2 (6).jpg,
17,2023 Ladies Open,Golf Angels - Templeton,"Elizabeth Hill, Pat Evans, Raylene Adler, Diane Litte",Golf Angels.jpg,
17,2023 Ladies Open,Ladies Open Best Gross Winner,Karen Craige,Best Gross.jpg,
